transaction_id,customer_id,sender_account,receiver_account,amount,transaction_type,channel,timestamp,description,destination_country,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,is_new_recipient,same_day_count,same_day_total,same_recipient_count,rapid_transfer_count
1,CUST00001,ACC000001,ACC929802,9059.53,deposit,card,2026-08-31T10:56:53.463997+00:00,Funds transfer in via card,ZW,442.6216233931795,885.243246786359,0,20.467888420246577,10.233944210123289,0,0,1.0,1.0,0,0,0,0
2,CUST00001,ACC000001,ACC390774,9380.72,deposit,online,2026-08-31T13:03:20.464100+00:00,Cash deposit via online,ZW,9059.53,9059.53,1,1.0354532740660938,1.0354532740660938,1,9059.53,1.0354532740660938,1.0,1,9059.53,1,0
3,CUST00001,ACC000001,ACC800721,9477.26,deposit,card,2026-08-13T13:42:47.464169+00:00,Cash deposit via card,ZW,9220.125,9380.72,2,1.0278884505361912,1.0102913209220614,2,18440.25,0.5139442252680956,1.0,0,0,1,0
4,CUST00001,ACC000001,ACC269683,9455.68,deposit,mobile,2026-08-28T12:55:01.464226+00:00,Credit received via mobile,ZW,9305.836666666668,9477.26,3,1.016102080737143,0.9977229705632219,2,18440.25,0.512773959138298,1.0,0,0,0,0
5,CUST00001,ACC000001,ACC490748,9789.18,deposit,mobile,2026-08-28T14:08:15.464271+00:00,Credit received via mobile,ZW,9343.2975,9477.26,4,1.0477221773148078,1.0329124662613456,3,27895.93,0.3509178579097381,1.0,1,9455.68,1,0
6,CUST00001,ACC000001,ACC948676,9580.46,deposit,card,2026-08-30T16:43:46.464313+00:00,Credit received via card,ZW,9432.474,9789.18,5,1.0156889910324691,0.9786785001399503,2,18440.25,0.5195406786784343,0.0,0,0,0,0
7,CUST00001,ACC000001,ACC261083,9294.87,deposit,branch,2026-08-21T16:19:41.464354+00:00,Cash deposit via branch,ZW,9457.138333333334,9789.18,6,0.9828417088114921,0.9495044528755218,5,47265.57,0.19665202387276828,0.0,0,0,1,0
8,CUST00001,ACC000001,ACC389649,9099.86,deposit,mobile,2026-08-13T17:09:25.464400+00:00,Funds transfer in via mobile,ZW,9433.957142857142,9789.18,7,0.9645856836322284,0.9295834789022166,7,66037.7,0.13779795480460405,1.0,1,9477.26,1,0
9,CUST00001,ACC000001,ACC320902,9635.42,deposit,atm,2026-08-09T10:20:19.464446+00:00,Funds transfer in via atm,ZW,9392.195,9789.18,8,1.0258965023618014,0.9842928621191969,8,75137.56,0.12823706279522518,0.0,0,0,1,0
10,CUST00001,ACC000001,ACC686286,8874.45,deposit,mobile,2026-08-23T13:16:17.464494+00:00,Cash deposit via mobile,ZW,9419.22,9789.18,9,0.9421640008408341,0.9065570354207401,5,47265.57,0.18775717715876483,1.0,0,0,0,0
11,CUST00001,ACC000001,ACC938428,9904.35,deposit,online,2026-08-30T11:21:05.464535+00:00,Funds transfer in via online,ZW,9364.743,9789.18,10,1.057621122117286,1.0117650303702659,3,28020.71,0.3534653475946898,0.0,1,9580.46,0,0
12,CUST00001,ACC000001,ACC525937,8551.42,deposit,mobile,2026-08-30T12:03:21.464577+00:00,Funds transfer in via mobile,ZW,9413.798181818182,9904.35,11,0.9083921106909026,0.8634004250657539,4,37925.06,0.22548204274429626,1.0,2,19484.809999999998,1,0
